name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
Dual Berettas | Urban Shock,Chroma Case,Restricted,41.39,FN,BUFF,,False,Classified,10.0,489.73,崭新,48.973,41.39,7.582999999999998,0.18320850446967862
CZ75-Auto | Pole Position,Chroma 2 Case,Restricted,26.9,FN,BUFF,,False,Classified,10.0,343.16333333333336,崭新,34.31633333333333,26.9,7.416333333333334,0.27570012391573734
AWP | Phobos,Gamma Case,Restricted,29.9,FN,BUFF,,False,Classified,10.0,372.32666666666665,崭新,37.23266666666667,29.9,7.332666666666668,0.24523968784838357
Sawed-Off | Devourer,Horizon Case,Classified,162.9,FN,YOUPIN,,False,Covert,10.0,1700.25,崭新,170.025,162.9,7.125,0.043738489871086556
FAMAS | Crypsis,Prisma Case,Mil-Spec,4.6,FN,BUFF,,False,Restricted,10.0,115.18,崭新,11.518,4.6,6.918000000000001,1.5039130434782613
P90 | Off World,Prisma Case,Mil-Spec,4.97,FN,YOUPIN,,False,Restricted,10.0,115.18,崭新,11.518,4.97,6.548000000000001,1.3175050301810867
MP7 | Impire,Operation Wildfire Case,Restricted,40.59,FN,BUFF,,False,Classified,10.0,467.1933333333333,崭新,46.71933333333333,40.59,6.129333333333328,0.15100599490843378
AUG | Stymphalian,Clutch Case,Classified,115.0,FN,BUFF,,False,Covert,10.0,1210.95,崭新,121.095,115.0,6.094999999999999,0.05299999999999999
Negev | dev_texture,Snakebite Case,Restricted,17.47,FN,C5,,False,Classified,10.0,234.63333333333333,崭新,23.46333333333333,17.47,5.993333333333332,0.3430643007059721
Sawed-Off | Serenity,Chroma Case,Restricted,43.0,FN,YOUPIN,,False,Classified,10.0,489.73,崭新,48.973,43.0,5.972999999999999,0.13890697674418603
Galil AR | Akoben,Prisma Case,Mil-Spec,5.75,FN,BUFF,,False,Restricted,10.0,115.18,崭新,11.518,5.75,5.768000000000001,1.0031304347826089
SG 553 | Phantom,Spectrum 2 Case,Restricted,18.9,FN,BUFF,,False,Classified,10.0,245.33,崭新,24.533,18.9,5.633000000000003,0.2980423280423282
MP9 | Goo,Spectrum 2 Case,Restricted,18.99,FN,BUFF,,False,Classified,10.0,245.33,崭新,24.533,18.99,5.543000000000003,0.29189046866772
M249 | Nebula Crusader,Shadow Case,Restricted,63.81,FN,YOUPIN,,False,Classified,10.0,692.6666666666666,崭新,69.26666666666667,63.81,5.4566666666666634,0.08551428720681184
XM1014 | Ziggy,Spectrum 2 Case,Restricted,19.32,FN,BUFF,,False,Classified,10.0,245.33,崭新,24.533,19.32,5.213000000000001,0.26982401656314703
P250 | Verdigris,Prisma Case,Mil-Spec,6.32,FN,BUFF,,False,Restricted,10.0,115.18,崭新,11.518,6.32,5.198,0.8224683544303798
MAC-10 | Sakkaku,Revolution Case,Restricted,5.96,FT,BUFF,,False,Classified,10.0,111.24666666666667,久经,11.124666666666666,5.96,5.164666666666666,0.8665548098434004
UMP-45 | Exposure,Spectrum 2 Case,Restricted,19.41,FN,C5,,False,Classified,10.0,245.33,崭新,24.533,19.41,5.123000000000001,0.26393611540443074
G3SG1 | Murky,Operation Vanguard Weapon Case,Mil-Spec,12.0,FN,YOUPIN,,False,Restricted,10.0,170.565,崭新,17.0565,12.0,5.0565,0.421375
MAG-7 | Petroglyph,Gamma 2 Case,Restricted,21.89,FN,BUFF,,False,Classified,10.0,269.1666666666667,崭新,26.916666666666668,21.89,5.026666666666667,0.22963301355261156
SCAR-20 | Torn,Shattered Web Case,Mil-Spec,10.83,FN,C5,,False,Restricted,10.0,153.79000000000002,崭新,15.379000000000001,10.83,4.549000000000001,0.4200369344413667
XM1014 | Seasons,Spectrum Case,Restricted,22.78,FN,BUFF,,False,Classified,10.0,272.78333333333336,崭新,27.278333333333336,22.78,4.498333333333335,0.1974685396546679
M249 | Emerald Poison Dart,Spectrum Case,Restricted,22.81,FN,BUFF,,False,Classified,10.0,272.78333333333336,崭新,27.278333333333336,22.81,4.468333333333337,0.19589361391202706
CZ75-Auto | Tacticat,Spectrum 2 Case,Restricted,20.13,FN,YOUPIN,,False,Classified,10.0,245.33,崭新,24.533,20.13,4.403000000000002,0.21872826626925
MP9 | Dart,Operation Vanguard Weapon Case,Mil-Spec,12.88,FN,BUFF,,False,Restricted,10.0,170.565,崭新,17.0565,12.88,4.176499999999999,0.3242624223602483
P250 | Cyber Shell,Snakebite Case,Restricted,19.7,FN,BUFF,,False,Classified,10.0,234.63333333333333,崭新,23.46333333333333,19.7,3.763333333333332,0.19103214890016915
MAC-10 | Whitefish,Prisma Case,Mil-Spec,7.94,FN,BUFF,,False,Restricted,10.0,115.18,崭新,11.518,7.94,3.5780000000000003,0.4506297229219144
XM1014 | Slipstream,Gamma 2 Case,Mil-Spec,3.76,FN,YOUPIN,,False,Restricted,10.0,69.304,崭新,6.930400000000001,3.76,3.1704000000000008,0.8431914893617024
G3SG1 | Ventilator,Gamma 2 Case,Mil-Spec,3.78,FN,YOUPIN,,False,Restricted,10.0,69.304,崭新,6.930400000000001,3.78,3.1504000000000008,0.8334391534391536
MP7 | Mischief,Prisma Case,Mil-Spec,8.4,MW,BUFF,,False,Restricted,10.0,115.18,略磨,11.518,8.4,3.1180000000000003,0.37119047619047624
MAG-7 | Hard Water,Operation Hydra Case,Mil-Spec,46.99,FN,BUFF,,False,Restricted,10.0,501.0,崭新,50.1,46.99,3.1099999999999994,0.06618429453075121
P90 | Grim,Gamma 2 Case,Mil-Spec,4.2,FN,BUFF,,False,Restricted,10.0,69.304,崭新,6.930400000000001,4.2,2.7304000000000004,0.6500952380952382
MP5-SD | Acid Wash,Shattered Web Case,Mil-Spec,12.9,FN,BUFF,,False,Restricted,10.0,153.79000000000002,崭新,15.379000000000001,12.9,2.479000000000001,0.192170542635659
XM1014 | Zombie Offensive,Dreams & Nightmares Case,Restricted,10.0,FN,YOUPIN,,False,Classified,10.0,122.29666666666667,崭新,12.229666666666667,10.0,2.2296666666666667,0.22296666666666667
UMP-45 | Metal Flowers,Operation Hydra Case,Mil-Spec,47.89,FN,YOUPIN,,False,Restricted,10.0,501.0,崭新,50.1,47.89,2.210000000000001,0.046147421173522676
