name,market_hash_name
AK-47 | Redline,AK-47 | 红线 (久经沙场)
M4A4 | Asiimov,M4A4 | 二西莫夫 (久经沙场)
AWP | Asiimov,AWP | 二西莫夫 (久经沙场)
Desert Eagle | Blaze,沙漠之鹰 | 烈焰 (崭新出厂)
Glock-18 | Water Elemental,格洛克18型 | 水元素 (崭新出厂)
