name,exterior,price
Glock-18 | Oxide Blaze,FN,6.14
Glock-18 | Sacrifice,FN,18.1
Glock-18 | Snack Attack,FN,1812.8
Glock-18 | Steel Disruption,FN,93.95
Glock-18 | Umbral Rabbit,FN,13.46
Glock-18 | Warhawk,FN,17.19
Glock-18 | Water Elemental,FN,278.0
Glock-18 | Winterized,FN,4.51
Glock-18 | Wraiths,FN,16.21
M249 | Aztec,FN,18.88
M249 | Deep Relief,FN,16.45
M249 | Downtown,FN,12.0
M249 | Magma,FN,10.37
M249 | Nebula Crusader,FN,59.99
M249 | Spectre,FN,3.74
M249 | System Lock,FN,6.98
M249 | Warbird,FN,26.0
M4A1-S | Atomic Alloy,FN,1575.0
M4A1-S | Blood Tiger,FN,69.69
M4A1-S | Briefing,FN,204.5
M4A1-S | Bright Water,MW,269.8
M4A1-S | Chantico's Fire,FN,3669.5
M4A1-S | Cyrex,FN,1643.0
M4A1-S | Dark Water,MW,738.5
M4A1-S | Decimator,BS,89.9
M4A1-S | Emphorosaur-S,FN,28.79
M4A1-S | Flashback,FN,166.0
M4A1-S | Golden Coil,FN,2511.0
M4A1-S | Guardian,FN,375.0
M4A1-S | Hyper Beast,FN,4070.0
M4A1-S | Leaded Glass,FN,339.0
M4A1-S | Night Terror,FN,15.0
M4A1-S | Nightmare,FN,548.0
M4A1-S | Player Two,FN,1390.0
M4A1-S | Printstream,FN,5067.0
M4A4 | Asiimov,FT,1998.0
M4A4 | Bullet Rain,FN,3588.0
M4A4 | Buzz Kill,FN,7099.49
M4A4 | Cyber Security,FN,2374.0
M4A4 | Desolate Space,FN,709.5
M4A4 | Evil Daimyo,FN,70.1
M4A4 | Faded Zebra,FN,309.0
M4A4 | Hellfire,FN,5700.0
M4A4 | In Living Color,FN,1798.5
M4A4 | Magnesium,FN,29.87
M4A4 | Neo-Noir,FN,1829.6
M4A4 | Poly Mag,FN,5.68
M4A4 | Royal Paladin,FN,3579.5
M4A4 | Spider Lily,MW,180.0
M4A4 | Temukau,FN,854.5
M4A4 | The Battlestar,FN,1445.0
M4A4 | The Emperor,FN,2698.74
M4A4 | X-Ray,FN,1919.0
M4A4 | Zirka,FN,569.9
M4A4 | 龍王 (Dragon King),FN,644.5
MAC-10 | Aloha,FN,51.9
MAC-10 | Carnivore,FN,7.83
MAC-10 | Classic Crate,FN,5.47
MAC-10 | Disco Tech,FN,214.5
MAC-10 | Ensnared,FN,4.39
MAC-10 | Graven,FN,449.4
MAC-10 | Heat,FN,98.0
MAC-10 | Malachite,FN,51.2
MAC-10 | Monkeyflage,FN,4.79
MAC-10 | Neon Rider,FN,814.5
MAC-10 | Oceanic,FN,3.23
MAC-10 | Pipe Down,FN,28.0
MAC-10 | Rangeen,FN,6.19
MAC-10 | Sakkaku,FT,5.67
MAC-10 | Toybox,FN,528.0
MAC-10 | Ultraviolet,FN,294.5
MAC-10 | Whitefish,FN,7.96
MAG-7 | Cobalt Core,FN,6.16
MAG-7 | Firestarter,FN,34.0
MAG-7 | Foresight,FN,2.55
MAG-7 | Hard Water,FN,47.67
MAG-7 | Heat,FN,40.3
MAG-7 | Heaven Guard,FN,7.19
MAG-7 | Insomnia,FN,4.36
MAG-7 | Justice,FN,144.5
MAG-7 | Memento,FN,48.7
MAG-7 | Popdog,FN,4.35
MAG-7 | Praetorian,MW,17.63
MAG-7 | Sonar,FN,10.3
MP5-SD | Acid Wash,FN,13.0
MP5-SD | Agent,FN,25.9
MP5-SD | Condition Zero,FN,19.7
MP5-SD | Desert Strike,FN,5.41
MP5-SD | Gauss,FN,22.83
MP5-SD | Liquidation,FN,4.89
MP5-SD | Necro Jr.,FN,4.87
MP5-SD | Phosphor,FN,98.99
MP7 | Abyssal Apparition,FN,124.98
MP7 | Akoben,FN,4.93
MP7 | Armor Core,FN,3.79
MP7 | Bloodsport,FN,602.45
MP7 | Cirrus,FN,11.5
MP7 | Impire,FN,41.3
MP7 | Mischief,MW,8.5
MP7 | Nemesis,FN,135.0
MP7 | Ocean Foam,FN,64.08
MP7 | Powercore,FN,35.58
MP7 | Skulls,MW,130.0
MP7 | Special Delivery,FN,54.0
MP7 | Urban Hazard,FN,5.8
MP9 | Bioleak,FN,3.94
MP9 | Capillary,FN,6.0
MP9 | Dart,FN,13.5
MP9 | Deadly Poison,FN,18.21
MP9 | Featherweight,FN,4.44
MP9 | Goo,FN,18.87
MP9 | Hydra,FN,273.5
MP9 | Modest Threat,FN,2.91
MP9 | Rose Iron,FN,59.9
MP9 | Ruby Poison Dart,FN,23.72
MP9 | Sand Scale,FN,9.97
MP9 | Starlight Protector,FN,683.5
Negev | Bratatat,FN,56.67
Negev | Dazzle,MW,4.61
Negev | Desert-Strike,FN,5.5
Negev | Drop Me,FN,4.5
Negev | Loudmouth,MW,58.5
Negev | Man-o'-war,MW,1.76
Negev | Power Loader,FN,51.7
Negev | Prototype,FN,2.96
Negev | Terrain,FN,6.6
Negev | Ultralight,FN,2.59
Nova | Bloomstick,FN,598.0
Nova | Clear Polymer,FN,115.9
Nova | Exo,FN,4.03
Nova | Ghost Camo,FN,19.32
Nova | Gila,FN,63.63
Nova | Hyper Beast,FN,328.5
Nova | Koi,FN,22.8
Nova | Plume,FN,14.65
Nova | Ranger,FN,7.98
Nova | Rising Skull,FN,57.0
Nova | Toy Soldier,FN,35.0
Nova | Windblown,FN,3.32
Nova | Wood Fired,FN,3.87
P2000 | Acid Etched,FN,49.7
P2000 | Corticera,FN,560.0
P2000 | Handgun,FN,50.99
P2000 | Imperial,FN,5.0
P2000 | Ivory,FN,10.17
P2000 | Lifted Spirits,FN,4.5
P2000 | Ocean Foam,FN,1014.0
P2000 | Oceanic,FN,4.18
P2000 | Turf,FN,15.7
P2000 | Wicked Sick,FN,111.65
P2000 | Woodsman,FN,325.0
P250 | Asiimov,MW,299.81
P250 | Hive,FN,20.9
P250 | Inferno,FN,17.9
P250 | Iron Clad,FN,38.68
P250 | Mehndi,FN,240.0
P250 | Muertos,FN,152.0
P250 | Nevermore,FN,16.08
P250 | Re.built,FN,4.55
P250 | Red Rock,FN,390.0
P250 | Ripple,FN,3.88
P250 | See Ya Later,FN,789.0
P250 | Splash,FN,444.0
P250 | Steel Disruption,FN,21.8
P250 | Supernova,FN,22.98
P250 | Undertow,FN,259.0
P250 | Valence,FN,8.49
P250 | Verdigris,FN,7.14
P250 | Visions,FN,79.55
P250 | Wingshot,FN,60.0
P90 | Asiimov,FN,1583.0
P90 | Blind Spot,FN,88.8
P90 | Chopper,FN,26.0
P90 | Death Grip,FN,380.0
P90 | Death by Kitty,MW,730.0
P90 | Elite Build,FN,9.48
P90 | Emerald Dragon,FN,3173.51
P90 | Freight,FT,0.46
P90 | Grim,FN,4.37
P90 | Nostalgia,FN,101.5
P90 | Off World,FN,4.99
P90 | Shallow Grave,FN,631.5
P90 | Shapewood,FN,293.9
P90 | Traction,FN,8.79
P90 | Vent Rush,FN,12.0
P90 | Virus,FN,110.0
PP-Bizon | Antique,FN,84.1
PP-Bizon | Blue Streak,FN,111.0
PP-Bizon | Cobalt Halftone,FN,67.99
PP-Bizon | Embargo,FN,71.0
PP-Bizon | Fuel Rod,FN,43.48
PP-Bizon | Harvester,FN,21.38
PP-Bizon | High Roller,FN,188.0
PP-Bizon | Judgement of Anubis,FN,828.0
PP-Bizon | Jungle Slipstream,FN,3.73
