name,series,tier,price,exterior,platform
★ Moto Gloves | POW!,Clutch Case,Gold,6899.0,FN,C5
★ Moto Gloves | Polygon,Clutch Case,Gold,5879.0,FN,BUFF
★ Moto Gloves | Smoke Out,Operation Broken Fang Case,Gold,6222.0,FN,YOUPIN
★ Moto Gloves | Spearmint,Glove Case,Gold,84888.0,FN,YOUPIN
★ Moto Gloves | Transport,Clutch Case,Gold,3294.5,FN,YOUPIN
★ Moto Gloves | Turtle,Clutch Case,Gold,5299.0,FN,YOUPIN
★ Navaja Knife | Blue Steel,Danger Zone Case,Gold,855.0,FN,C5
★ Navaja Knife | Boreal Forest,Danger Zone Case,Gold,1415.0,FN,C5
★ Navaja Knife | Case Hardened,Danger Zone Case,Gold,1100.0,FN,BUFF
★ Navaja Knife | Crimson Web,Danger Zone Case,Gold,3600.0,FN,BUFF
★ Navaja Knife | Damascus Steel,Prisma 2 Case,Gold,449.49,FN,YOUPIN
★ Navaja Knife | Doppler,Prisma 2 Case,Gold,800.0,FN,YOUPIN
★ Navaja Knife | Fade,Danger Zone Case,Gold,749.0,FN,YOUPIN
★ Navaja Knife | Forest DDPAT,Danger Zone Case,Gold,781.95,FN,STEAM
★ Navaja Knife | Marble Fade,Prisma 2 Case,Gold,620.0,FN,YOUPIN
★ Navaja Knife | Night Stripe,Danger Zone Case,Gold,2689.0,FN,C5
★ Navaja Knife | Rust Coat,Prisma 2 Case,Gold,430.0,WW,C5
★ Navaja Knife | Safari Mesh,Danger Zone Case,Gold,389.99,MW,YOUPIN
★ Navaja Knife | Scorched,Danger Zone Case,Gold,1350.0,FN,BUFF
★ Navaja Knife | Slaughter,Danger Zone Case,Gold,685.0,FN,YOUPIN
★ Navaja Knife | Stained,Horizon Case,Gold,797.5,FN,BUFF
★ Navaja Knife | Tiger Tooth,Prisma 2 Case,Gold,527.0,FN,YOUPIN
★ Navaja Knife | Ultraviolet,Prisma 2 Case,Gold,1423.43,FN,C5
★ Navaja Knife | Urban Masked,Horizon Case,Gold,1616.73,FN,STEAM
★ Nomad Knife | Blue Steel,Shattered Web Case,Gold,1840.0,FN,YOUPIN
★ Nomad Knife | Boreal Forest,Shattered Web Case,Gold,1432.96,FN,STEAM
★ Nomad Knife | Case Hardened,Shattered Web Case,Gold,2600.0,FN,YOUPIN
★ Nomad Knife | Crimson Web,Shattered Web Case,Gold,7898.5,FN,BUFF
★ Nomad Knife | Fade,Shattered Web Case,Gold,2760.0,FN,YOUPIN
★ Nomad Knife | Forest DDPAT,Shattered Web Case,Gold,1400.0,FN,BUFF
★ Nomad Knife | Night Stripe,Shattered Web Case,Gold,1388.0,FN,BUFF
★ Nomad Knife | Safari Mesh,Shattered Web Case,Gold,1166.84,FN,BUFF
★ Nomad Knife | Scorched,Shattered Web Case,Gold,1509.57,FN,STEAM
★ Nomad Knife | Slaughter,Shattered Web Case,Gold,1800.0,FN,YOUPIN
★ Nomad Knife | Stained,Shattered Web Case,Gold,1320.0,FN,YOUPIN
★ Nomad Knife | Urban Masked,Fracture Case,Gold,2245.0,FN,C5
★ Paracord Knife | Blue Steel,Fracture Case,Gold,1300.0,FN,BUFF
★ Paracord Knife | Boreal Forest,Fracture Case,Gold,1537.48,FN,C5
★ Paracord Knife | Case Hardened,Fracture Case,Gold,1868.0,FN,BUFF
★ Paracord Knife | Crimson Web,Fracture Case,Gold,10000.0,FN,BUFF
★ Paracord Knife | Fade,Fracture Case,Gold,1238.5,FN,YOUPIN
★ Paracord Knife | Forest DDPAT,Fracture Case,Gold,864.26,FN,STEAM
★ Paracord Knife | Night Stripe,Fracture Case,Gold,2200.0,FN,YOUPIN
★ Paracord Knife | Safari Mesh,Fracture Case,Gold,1050.0,FN,BUFF
★ Paracord Knife | Scorched,Fracture Case,Gold,990.0,FN,BUFF
★ Paracord Knife | Slaughter,Fracture Case,Gold,1079.5,FN,BUFF
★ Paracord Knife | Stained,Fracture Case,Gold,750.0,FN,BUFF
★ Paracord Knife | Urban Masked,Fracture Case,Gold,1088.0,FN,BUFF
★ Shadow Daggers | Autotronic,Operation Riptide Case,Gold,709.0,FN,YOUPIN
★ Shadow Daggers | Black Laminate,Operation Riptide Case,Gold,514.42,FN,YOUPIN
★ Shadow Daggers | Blue Steel,Shadow Case,Gold,849.9,FN,YOUPIN
★ Shadow Daggers | Boreal Forest,Shadow Case,Gold,799.5,FN,YOUPIN
★ Shadow Daggers | Bright Water,Operation Riptide Case,Gold,389.99,FN,YOUPIN
★ Shadow Daggers | Case Hardened,Shadow Case,Gold,1950.0,FN,C5
★ Shadow Daggers | Crimson Web,Shadow Case,Gold,3500.0,FN,BUFF
★ Shadow Daggers | Damascus Steel,Spectrum Case,Gold,489.5,FN,BUFF
★ Shadow Daggers | Doppler,Spectrum 2 Case,Gold,947.47,FN,YOUPIN
★ Shadow Daggers | Fade,Shadow Case,Gold,1010.0,FN,BUFF
★ Shadow Daggers | Forest DDPAT,Shadow Case,Gold,1231.02,FN,STEAM
★ Shadow Daggers | Freehand,Operation Riptide Case,Gold,449.5,FN,YOUPIN
★ Shadow Daggers | Gamma Doppler,Operation Riptide Case,Gold,769.5,FN,BUFF
★ Shadow Daggers | Lore,Operation Riptide Case,Gold,955.5,FN,YOUPIN
★ Shadow Daggers | Marble Fade,Spectrum Case,Gold,726.5,FN,YOUPIN
★ Shadow Daggers | Night,Shadow Case,Gold,500.0,MW,YOUPIN
★ Shadow Daggers | Rust Coat,Spectrum Case,Gold,460.0,WW,BUFF
★ Shadow Daggers | Safari Mesh,Shadow Case,Gold,1230.53,FN,STEAM
★ Shadow Daggers | Scorched,Shadow Case,Gold,2015.18,FN,STEAM
★ Shadow Daggers | Slaughter,Shadow Case,Gold,776.5,FN,BUFF
★ Shadow Daggers | Stained,Shadow Case,Gold,1049.98,FN,YOUPIN
★ Shadow Daggers | Tiger Tooth,Spectrum Case,Gold,569.0,FN,YOUPIN
★ Shadow Daggers | Ultraviolet,Spectrum Case,Gold,1800.0,FN,BUFF
★ Shadow Daggers | Urban Masked,Shadow Case,Gold,1281.65,FN,STEAM
★ Skeleton Knife | Blue Steel,Fracture Case,Gold,2550.0,FN,BUFF
★ Skeleton Knife | Boreal Forest,Fracture Case,Gold,1976.0,FN,YOUPIN
★ Skeleton Knife | Case Hardened,Fracture Case,Gold,4380.0,FN,YOUPIN
★ Skeleton Knife | Crimson Web,Fracture Case,Gold,16000.0,FN,BUFF
★ Skeleton Knife | Fade,Fracture Case,Gold,4748.5,FN,YOUPIN
★ Skeleton Knife | Forest DDPAT,Fracture Case,Gold,2145.0,FN,C5
★ Skeleton Knife | Night Stripe,Fracture Case,Gold,2800.0,FN,YOUPIN
★ Skeleton Knife | Safari Mesh,Fracture Case,Gold,1632.15,FN,C5
★ Skeleton Knife | Scorched,Fracture Case,Gold,2979.5,FN,BUFF
★ Skeleton Knife | Slaughter,Fracture Case,Gold,3113.5,FN,YOUPIN
★ Skeleton Knife | Stained,Fracture Case,Gold,2050.0,FN,YOUPIN
★ Skeleton Knife | Urban Masked,Fracture Case,Gold,2700.0,FN,BUFF
★ Specialist Gloves | Buckshot,Clutch Case,Gold,2850.0,FN,YOUPIN
★ Specialist Gloves | Crimson Kimono,Glove Case,Gold,130000.0,FN,YOUPIN
★ Specialist Gloves | Crimson Web,Clutch Case,Gold,13299.0,FN,YOUPIN
★ Specialist Gloves | Emerald Web,Glove Case,Gold,88853.0,FN,C5
★ Specialist Gloves | Fade,Clutch Case,Gold,19998.5,FN,BUFF
★ Specialist Gloves | Field Agent,Operation Broken Fang Case,Gold,9650.0,FN,C5
★ Specialist Gloves | Forest DDPAT,Operation Hydra Case,Gold,8888.0,FN,YOUPIN
★ Specialist Gloves | Foundation,Operation Hydra Case,Gold,19999.0,FN,YOUPIN
★ Specialist Gloves | Lt. Commander,Operation Broken Fang Case,Gold,7333.0,FN,YOUPIN
★ Specialist Gloves | Marble Fade,Operation Broken Fang Case,Gold,16000.0,FN,YOUPIN
★ Specialist Gloves | Mogul,Clutch Case,Gold,5200.0,FN,YOUPIN
★ Specialist Gloves | Tiger Strike,Operation Broken Fang Case,Gold,11998.5,FN,YOUPIN
★ Sport Gloves | Amphibious,Clutch Case,Gold,31000.0,FN,YOUPIN
★ Sport Gloves | Arid,Operation Hydra Case,Gold,49999.0,FN,YOUPIN
★ Sport Gloves | Big Game,Operation Broken Fang Case,Gold,8308.5,FN,C5
★ Sport Gloves | Bronze Morph,Clutch Case,Gold,6200.0,FN,BUFF
★ Sport Gloves | Hedge Maze,Operation Hydra Case,Gold,240000.0,FN,BUFF
★ Sport Gloves | Nocts,Operation Broken Fang Case,Gold,26000.0,FN,BUFF
★ Sport Gloves | Omega,Clutch Case,Gold,17399.0,FN,YOUPIN
★ Sport Gloves | Pandora's Box,Operation Hydra Case,Gold,330000.0,FN,YOUPIN
★ Sport Gloves | Scarlet Shamagh,Operation Broken Fang Case,Gold,11500.0,FN,YOUPIN
★ Sport Gloves | Slingshot,Operation Broken Fang Case,Gold,30588.88,FN,C5
★ Sport Gloves | Superconductor,Operation Hydra Case,Gold,125000.0,FN,YOUPIN
★ Sport Gloves | Vice,Clutch Case,Gold,75000.0,FN,BUFF
★ Stiletto Knife | Blue Steel,Horizon Case,Gold,2000.0,FN,BUFF
★ Stiletto Knife | Boreal Forest,Horizon Case,Gold,2199.0,FN,BUFF
★ Stiletto Knife | Case Hardened,Horizon Case,Gold,3900.0,FN,BUFF
★ Stiletto Knife | Crimson Web,Horizon Case,Gold,9699.5,FN,BUFF
★ Stiletto Knife | Damascus Steel,Prisma 2 Case,Gold,1300.0,FN,YOUPIN
★ Stiletto Knife | Doppler,Prisma 2 Case,Gold,3229.5,FN,YOUPIN
★ Stiletto Knife | Fade,Horizon Case,Gold,3070.0,FN,YOUPIN
★ Stiletto Knife | Forest DDPAT,Horizon Case,Gold,1887.0,FN,YOUPIN
★ Stiletto Knife | Marble Fade,Prisma 2 Case,Gold,2043.5,FN,YOUPIN
★ Stiletto Knife | Night Stripe,Horizon Case,Gold,2850.0,FN,BUFF
★ Stiletto Knife | Rust Coat,Prisma 2 Case,Gold,868.5,WW,YOUPIN
★ Stiletto Knife | Safari Mesh,Horizon Case,Gold,1666.0,FN,YOUPIN
★ Stiletto Knife | Scorched,Horizon Case,Gold,1999.0,FN,YOUPIN
★ Stiletto Knife | Slaughter,Horizon Case,Gold,2799.0,FN,BUFF
★ Stiletto Knife | Stained,Horizon Case,Gold,1300.0,FN,BUFF
★ Stiletto Knife | Stained,Danger Zone Case,Gold,1050.0,MW,YOUPIN
★ Stiletto Knife | Tiger Tooth,Prisma Case,Gold,1842.5,FN,YOUPIN
★ Stiletto Knife | Ultraviolet,Prisma 2 Case,Gold,4100.0,FN,YOUPIN
★ Stiletto Knife | Urban Masked,Danger Zone Case,Gold,1900.0,FN,BUFF
★ Survival Knife | Blue Steel,Fracture Case,Gold,999.0,FN,BUFF
★ Survival Knife | Boreal Forest,Fracture Case,Gold,888.0,FN,BUFF
★ Survival Knife | Case Hardened,Fracture Case,Gold,1684.5,FN,BUFF
★ Survival Knife | Crimson Web,Fracture Case,Gold,5141.5,FN,BUFF
★ Survival Knife | Fade,Fracture Case,Gold,1079.5,FN,BUFF
★ Survival Knife | Forest DDPAT,Fracture Case,Gold,1079.0,FN,BUFF
★ Survival Knife | Night Stripe,Fracture Case,Gold,1550.0,FN,YOUPIN
★ Survival Knife | Safari Mesh,Fracture Case,Gold,987.99,FN,C5
★ Survival Knife | Scorched,Fracture Case,Gold,1100.0,FN,BUFF
★ Survival Knife | Slaughter,Fracture Case,Gold,998.5,FN,YOUPIN
★ Survival Knife | Stained,Fracture Case,Gold,880.0,FN,C5
★ Survival Knife | Urban Masked,Fracture Case,Gold,1477.0,FN,C5
★ Talon Knife | Blue Steel,Danger Zone Case,Gold,3750.0,FN,BUFF
★ Talon Knife | Boreal Forest,Danger Zone Case,Gold,3486.5,FN,YOUPIN
★ Talon Knife | Case Hardened,Danger Zone Case,Gold,7200.0,FN,YOUPIN
★ Talon Knife | Crimson Web,Danger Zone Case,Gold,15000.0,FN,YOUPIN
★ Talon Knife | Damascus Steel,Prisma Case,Gold,2200.0,FN,YOUPIN
★ Talon Knife | Doppler,Prisma Case,Gold,5899.0,FN,BUFF
★ Talon Knife | Doppler,Prisma Case,Gold,5987.0,MW,YOUPIN
★ Talon Knife | Fade,Danger Zone Case,Gold,6200.0,FN,YOUPIN
★ Talon Knife | Forest DDPAT,Danger Zone Case,Gold,3500.0,FN,BUFF
★ Talon Knife | Marble Fade,Prisma Case,Gold,3850.0,FN,BUFF
★ Talon Knife | Night Stripe,Danger Zone Case,Gold,4150.0,FN,YOUPIN
★ Talon Knife | Rust Coat,Prisma 2 Case,Gold,1680.0,WW,YOUPIN
★ Talon Knife | Safari Mesh,Danger Zone Case,Gold,3000.0,FN,BUFF
★ Talon Knife | Scorched,Danger Zone Case,Gold,2400.0,FN,BUFF
★ Talon Knife | Slaughter,Danger Zone Case,Gold,4850.0,FN,BUFF
★ Talon Knife | Stained,Danger Zone Case,Gold,2550.0,FN,YOUPIN
★ Talon Knife | Tiger Tooth,Prisma 2 Case,Gold,3242.53,FN,C5
★ Talon Knife | Ultraviolet,Prisma 2 Case,Gold,7300.0,FN,YOUPIN
★ Talon Knife | Urban Masked,Danger Zone Case,Gold,4852.5,FN,C5
★ Ursus Knife | Blue Steel,Danger Zone Case,Gold,1199.0,FN,BUFF
★ Ursus Knife | Boreal Forest,Danger Zone Case,Gold,879.5,FN,BUFF
★ Ursus Knife | Case Hardened,Danger Zone Case,Gold,2285.0,FN,YOUPIN
★ Ursus Knife | Crimson Web,Danger Zone Case,Gold,6900.0,FN,BUFF
★ Ursus Knife | Damascus Steel,Prisma 2 Case,Gold,675.0,FN,YOUPIN
★ Ursus Knife | Doppler,Prisma 2 Case,Gold,1840.0,FN,YOUPIN
★ Ursus Knife | Fade,Danger Zone Case,Gold,1646.0,FN,YOUPIN
★ Ursus Knife | Forest DDPAT,Danger Zone Case,Gold,1249.0,FN,BUFF
★ Ursus Knife | Marble Fade,Prisma 2 Case,Gold,1220.0,FN,YOUPIN
★ Ursus Knife | Night Stripe,Danger Zone Case,Gold,1673.28,FN,HALOSKINS
★ Ursus Knife | Rust Coat,Prisma 2 Case,Gold,508.0,WW,YOUPIN
★ Ursus Knife | Safari Mesh,Danger Zone Case,Gold,1100.0,FN,C5
★ Ursus Knife | Scorched,Danger Zone Case,Gold,1300.0,FN,BUFF
★ Ursus Knife | Slaughter,Danger Zone Case,Gold,1387.0,FN,YOUPIN
★ Ursus Knife | Stained,Danger Zone Case,Gold,900.0,FN,BUFF
★ Ursus Knife | Tiger Tooth,Prisma 2 Case,Gold,1065.0,FN,YOUPIN
★ Ursus Knife | Ultraviolet,Prisma 2 Case,Gold,2800.0,FN,BUFF
★ Ursus Knife | Urban Masked,Danger Zone Case,Gold,1920.0,FN,YOUPIN
