name,series,tier_raw,price,tier,next_tier,K,avg_out_next,value_per_item,buy_cost,margin
P2000 | Fire Elemental,Operation Vanguard Weapon Case,Covert,1158.81,Covert,Gold,5.0,3435.343055555555,584.0083194444444,1158.81,-574.8016805555555
AK-47 | Cartel,Chroma Case,Classified,812.34,Classified,Covert,10.0,1470.5300000000002,124.99505000000002,812.34,-687.34495
USP-S | Dark Water,CSGO Weapon Case,Restricted,976.46,Restricted,Classified,10.0,3173.93,269.78405,976.46,-706.6759500000001
Desert Eagle | Heirloom,CSGO Weapon Case 3,Restricted,771.4,Restricted,Classified,10.0,361.06,30.6901,771.4,-740.7099
USP-S | Serum,CSGO Weapon Case 2,Classified,890.02,Classified,Covert,10.0,1706.71,145.07035000000002,890.02,-744.94965
M4A4 | Desolate Space,Gamma Case,Classified,938.51,Classified,Covert,10.0,2178.385,185.16272500000002,938.51,-753.347275
M4A1-S | Dark Water,CSGO Weapon Case,Restricted,1025.66,Restricted,Classified,10.0,3173.93,269.78405,1025.66,-755.8759500000001
M4A4 | 龍王 (Dragon King),Chroma Case,Classified,893.44,Classified,Covert,10.0,1470.5300000000002,124.99505000000002,893.44,-768.4449500000001
AK-47 | Point Disarray,Revolver Case,Classified,996.82,Classified,Covert,10.0,2657.645,225.89982500000002,996.82,-770.920175
M4A4 | Zirka,Operation Bravo Case,Restricted,1068.03,Restricted,Classified,10.0,2352.045,199.92382500000002,1068.03,-868.1061749999999
Desert Eagle | Code Red,Horizon Case,Covert,1903.15,Covert,Gold,5.0,6054.997407407407,1029.3495592592592,1903.15,-873.8004407407409
Desert Eagle | Hypnotic,CSGO Weapon Case,Classified,1424.75,Classified,Covert,10.0,6064.41,515.47485,1424.75,-909.27515
USP-S | Overgrowth,Operation Bravo Case,Restricted,1115.23,Restricted,Classified,10.0,2352.045,199.92382500000002,1115.23,-915.3061749999999
Glock-18 | Dragon Tattoo,CSGO Weapon Case,Restricted,1209.79,Restricted,Classified,10.0,3173.93,269.78405,1209.79,-940.00595
P250 | See Ya Later,Spectrum 2 Case,Covert,1391.99,Covert,Gold,5.0,2134.2042857142856,362.81472857142853,1391.99,-1029.1752714285715
Glock-18 | Bullet Queen,Prisma 2 Case,Covert,1570.21,Covert,Gold,5.0,2191.3059999999996,372.52201999999994,1570.21,-1197.6879800000002
M4A4 | X-Ray,ESports 2013 Winter Case,Covert,2379.64,Covert,Gold,5.0,5547.366046511627,943.0522279069767,2379.64,-1436.5877720930232
AK-47 | Frontside Misty,Shadow Case,Classified,1883.29,Classified,Covert,10.0,3918.49,333.07165,1883.29,-1550.21835
M4A1-S | Mecha Industries,Gamma Case,Covert,2932.73,Covert,Gold,5.0,8067.838000000001,1371.53246,2932.73,-1561.1975400000001
AWP | Wildfire,CS20 Case,Covert,1988.1,Covert,Gold,5.0,2505.0883333333336,425.86501666666675,1988.1,-1562.2349833333333
M4A4 | The Battlestar,Operation Wildfire Case,Covert,1920.24,Covert,Gold,5.0,2005.5433333333333,340.94236666666666,1920.24,-1579.2976333333334
M4A1-S | Player Two,Prisma 2 Case,Covert,1956.77,Covert,Gold,5.0,2191.3059999999996,372.52201999999994,1956.77,-1584.24798
AK-47 | Neon Rider,Horizon Case,Covert,2620.23,Covert,Gold,5.0,6054.997407407407,1029.3495592592592,2620.23,-1590.8804407407408
Galil AR | Sugar Rush,Operation Hydra Case,Classified,2459.03,Classified,Covert,10.0,8455.23,718.6945499999999,2459.03,-1740.3354500000003
M4A4 | Asiimov,Winter Offensive Weapon Case,Covert,2741.13,Covert,Gold,5.0,5547.366046511627,943.0522279069767,2741.13,-1798.0777720930234
AK-47 | Neon Revolution,Gamma 2 Case,Covert,3239.76,Covert,Gold,5.0,8067.838000000001,1371.53246,3239.76,-1868.2275400000003
AK-47 | Asiimov,Danger Zone Case,Covert,3995.28,Covert,Gold,5.0,10017.656153846154,1703.001546153846,3995.28,-2292.278453846154
AWP | Corticera,ESports 2014 Summer Case,Classified,2759.43,Classified,Covert,10.0,5161.035,438.687975,2759.43,-2320.742025
M4A4 | Royal Paladin,Revolver Case,Covert,4389.67,Covert,Gold,5.0,8563.1434375,1455.734384375,4389.67,-2933.935615625
AK-47 | The Empress,Spectrum 2 Case,Covert,3606.38,Covert,Gold,5.0,2134.2042857142856,362.81472857142853,3606.38,-3243.5652714285716
M4A1-S | Golden Coil,Shadow Case,Covert,3570.28,Covert,Gold,5.0,1916.5866666666668,325.8197333333334,3570.28,-3244.460266666667
M4A4 | The Emperor,Prisma Case,Covert,3748.21,Covert,Gold,5.0,2191.3059999999996,372.52201999999994,3748.21,-3375.68798
M4A4 | Bullet Rain,ESports 2014 Summer Case,Covert,4414.52,Covert,Gold,5.0,5161.57925,877.4684725,4414.52,-3537.0515275000007
M4A1-S | Hyper Beast,Chroma 2 Case,Covert,5126.68,Covert,Gold,5.0,9095.015714285715,1546.1526714285715,5126.68,-3580.527328571429
M4A1-S | Chantico's Fire,Chroma 3 Case,Covert,4817.38,Covert,Gold,5.0,5967.5419999999995,1014.4821399999998,4817.38,-3802.89786
USP-S | Kill Confirmed,Shadow Case,Covert,4266.7,Covert,Gold,5.0,1916.5866666666668,325.8197333333334,4266.7,-3940.8802666666666
AK-47 | Case Hardened,CSGO Weapon Case,Classified,4923.11,Classified,Covert,10.0,6064.41,515.47485,4923.11,-4407.63515
AWP | Lightning Strike,CSGO Weapon Case,Covert,6064.41,Covert,Gold,5.0,7742.707826086957,1316.2603304347826,6064.41,-4748.149669565217
Five-SeveN | Hyper Beast,Operation Hydra Case,Covert,6265.77,Covert,Gold,5.0,8819.139,1499.2536299999997,6265.77,-4766.516370000001
AK-47 | Jaguar,ESports 2014 Summer Case,Covert,5907.55,Covert,Gold,5.0,5161.57925,877.4684725,5907.55,-5030.0815275
AK-47 | Red Laminate,ESports 2013 Case,Classified,5823.54,Classified,Covert,10.0,1068.03,90.78254999999999,5823.54,-5732.75745
M4A4 | Hellfire,Operation Hydra Case,Classified,7369.4,Classified,Covert,10.0,8455.23,718.6945499999999,7369.4,-6650.7054499999995
AWP | BOOM,ESports 2013 Case,Classified,7384.5,Classified,Covert,10.0,1068.03,90.78254999999999,7384.5,-7293.71745
AK-47 | Fuel Injector,Operation Wildfire Case,Covert,8835.66,Covert,Gold,5.0,2005.5433333333333,340.94236666666666,8835.66,-8494.717633333334
AWP | Oni Taiji,Operation Hydra Case,Covert,10644.69,Covert,Gold,5.0,8819.139,1499.2536299999997,10644.69,-9145.436370000001
