箱子名称,投入材料,材料稀有度,材料外观,材料价格,产出稀有度,需要数量,总投入,期望产出,单件利润,总利润,ROI,平台
Operation Vanguard Weapon Case,P2000 | Fire Elemental,Covert,FN,861.55,Gold,5,4307.75,7217.435399999999,581.9370799999999,2909.6853999999994,67.55%,STEAM
Operation Wildfire Case,MP7 | Impire,Classified,FN,58.6,Covert,10,586.0,5458.73,487.2729999999999,4872.73,831.52%,STEAM
Operation Wildfire Case,Nova | Hyper Beast,Classified,FN,411.62,Covert,10,4116.2,5458.73,134.25299999999993,1342.5299999999993,32.62%,STEAM
Prisma Case,UMP-45 | Moonrise,Restricted,FN,22.64,Classified,10,226.4,350.2,12.379999999999995,123.79999999999995,54.68%,STEAM
Prisma Case,R8 Revolver | Skull Crusher,Classified,FT,84.01,Covert,10,840.1,2142.135,130.20349999999996,1302.0349999999996,154.99%,STEAM
Recoil Case,AWP | Chromatic Aberration,Covert,FN,754.75,Gold,5,3773.75,7903.509375,825.951875,4129.759375,109.43%,STEAM
Recoil Case,USP-S | Printstream,Covert,FN,1210.45,Gold,5,6052.25,7903.509375,370.2518749999999,1851.2593749999996,30.59%,STEAM
Revolution Case,P250 | Re.built,Mil-Spec,FT,0.92,Restricted,10,9.200000000000001,25.384,1.6184000000000005,16.184000000000005,175.91%,STEAM
Revolution Case,MAC-10 | Sakkaku,Restricted,FT,10.75,Classified,10,107.5,164.97333333333333,5.747333333333334,57.473333333333336,53.46%,STEAM
Revolution Case,M4A4 | Temukau,Covert,FN,1104.57,Gold,5,5522.849999999999,11937.08,1282.8460000000002,6414.230000000001,116.14%,STEAM
Revolution Case,AK-47 | Head Shot,Covert,FN,1206.23,Gold,5,6031.15,11937.08,1181.186,5905.929999999999,97.92%,STEAM
Revolver Case,SCAR-20 | Outbreak,Mil-Spec,FN,7.19,Restricted,10,71.9,93.65,2.174999999999998,21.74999999999998,30.25%,STEAM
Revolver Case,P2000 | Imperial,Mil-Spec,FN,7.68,Restricted,10,76.8,93.65,1.6849999999999987,16.849999999999987,21.94%,STEAM
Revolver Case,XM1014 | Teclu Burner,Restricted,FN,55.89,Classified,10,558.9,677.9300000000001,11.903000000000006,119.03000000000006,21.30%,STEAM
Revolver Case,SG 553 | Tiger Moth,Restricted,FN,64.08,Classified,10,640.8,677.9300000000001,3.713000000000008,37.13000000000008,5.79%,STEAM
Revolver Case,PP-Bizon | Fuel Rod,Restricted,FN,65.07,Classified,10,650.6999999999999,677.9300000000001,2.723000000000013,27.230000000000132,4.18%,STEAM
Shadow Case,MAC-10 | Rangeen,Mil-Spec,FN,7.76,Restricted,10,77.6,89.2125,1.1612500000000008,11.612500000000008,14.96%,STEAM
Shadow Case,SCAR-20 | Green Marine,Mil-Spec,FN,8.18,Restricted,10,81.8,89.2125,0.7412500000000009,7.4125000000000085,9.06%,STEAM
Shadow Case,MAG-7 | Cobalt Core,Mil-Spec,FN,8.4,Restricted,10,84.0,89.2125,0.5212500000000002,5.212500000000002,6.21%,STEAM
Shadow Case,MP7 | Special Delivery,Restricted,FN,72.12,Classified,10,721.2,934.6366666666668,21.343666666666664,213.43666666666664,29.59%,STEAM
Shadow Case,P250 | Wingshot,Restricted,FN,79.39,Classified,10,793.9,934.6366666666668,14.073666666666668,140.73666666666668,17.73%,STEAM
Shadow Case,M249 | Nebula Crusader,Restricted,FN,82.31,Classified,10,823.1,934.6366666666668,11.153666666666666,111.53666666666666,13.55%,STEAM
Shattered Web Case,SCAR-20 | Torn,Mil-Spec,FN,14.16,Restricted,10,141.6,202.042,6.0442,60.442,42.69%,STEAM
Shattered Web Case,MP5-SD | Acid Wash,Mil-Spec,FN,16.02,Restricted,10,160.2,202.042,4.184200000000001,41.842000000000006,26.12%,STEAM
Shattered Web Case,SG 553 | Colony IV,Classified,FN,535.09,Covert,10,5350.900000000001,6013.515,66.26149999999996,662.6149999999996,12.38%,STEAM
Snakebite Case,Nova | Windblown,Mil-Spec,FN,5.69,Restricted,10,56.900000000000006,64.80600000000001,0.7906000000000004,7.906000000000004,13.89%,STEAM
Snakebite Case,UMP-45 | Oscillator,Mil-Spec,FN,5.69,Restricted,10,56.900000000000006,64.80600000000001,0.7906000000000004,7.906000000000004,13.89%,STEAM
Snakebite Case,Negev | dev_texture,Restricted,FN,24.35,Classified,10,243.5,310.82,6.731999999999999,67.32,27.65%,STEAM
Snakebite Case,USP-S | The Traitor,Covert,FN,1555.85,Gold,5,7779.25,9669.81,378.1120000000001,1890.5600000000004,24.30%,STEAM
Spectrum 2 Case,UMP-45 | Exposure,Restricted,FN,28.62,Classified,10,286.2,341.6,5.539999999999996,55.399999999999956,19.36%,STEAM
Spectrum 2 Case,MP9 | Goo,Restricted,FN,29.05,Classified,10,290.5,341.6,5.109999999999996,51.09999999999996,17.59%,STEAM
Spectrum 2 Case,SG 553 | Phantom,Restricted,FN,29.69,Classified,10,296.90000000000003,341.6,4.469999999999995,44.69999999999995,15.06%,STEAM
Spectrum 2 Case,XM1014 | Ziggy,Restricted,FN,29.72,Classified,10,297.2,341.6,4.439999999999998,44.39999999999998,14.94%,STEAM
Spectrum 2 Case,CZ75-Auto | Tacticat,Restricted,FN,32.11,Classified,10,321.1,341.6,2.049999999999997,20.49999999999997,6.38%,STEAM
Winter Offensive Weapon Case,Sawed-Off | The Kraken,Covert,FN,757.24,Gold,5,3786.2,7312.807142857143,705.3214285714287,3526.607142857143,93.14%,STEAM
