name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
UMP-45 | Gold Bismuth,Operation Broken Fang Case,Restricted,100.0,FN,C5,,False,Classified,10.0,1360.3333333333333,崭新,115.62833333333333,100.0,15.62833333333333,0.1562833333333333
FAMAS | Doomkitty,ESports 2013 Case,Mil-Spec,32.87,MW,YOUPIN,,False,Restricted,10.0,561.1433333333333,略磨,47.69718333333333,32.87,14.82718333333333,0.45108558969678525
MAG-7 | Praetorian,Operation Wildfire Case,Restricted,17.63,MW,BUFF,,False,Classified,10.0,353.04749999999996,略磨,30.009037499999994,17.63,12.379037499999995,0.7021575439591603
XM1014 | Red Python,ESports 2014 Summer Case,Mil-Spec,19.7,MW,BUFF,,False,Restricted,10.0,335.006,略磨,28.475509999999996,19.7,8.775509999999997,0.44545736040609124
SSG 08 | Dark Water,ESports 2014 Summer Case,Mil-Spec,21.89,MW,BUFF,,False,Restricted,10.0,335.006,略磨,28.475509999999996,21.89,6.585509999999996,0.3008455915943351
MP7 | Special Delivery,Shadow Case,Restricted,54.0,FN,YOUPIN,,False,Classified,10.0,707.7599999999999,崭新,60.15959999999999,54.0,6.15959999999999,0.11406666666666648
MAC-10 | Sakkaku,Revolution Case,Restricted,5.67,FT,BUFF,,False,Classified,10.0,110.16666666666667,久经,9.364166666666666,5.67,3.694166666666666,0.6515285126396236
UMP-45 | Moonrise,Prisma Case,Restricted,14.69,FN,BUFF,,False,Classified,10.0,213.84,崭新,18.1764,14.69,3.4864000000000015,0.23733151803948274
Galil AR | Black Sand,Glove Case,Mil-Spec,4.21,FN,HALOSKINS,,False,Restricted,10.0,88.03399999999999,崭新,7.482889999999999,4.21,3.2728899999999994,0.7774085510688835
M249 | Spectre,Chroma 3 Case,Mil-Spec,3.74,FN,BUFF,,False,Restricted,10.0,75.2175,崭新,6.3934875,3.74,2.6534874999999998,0.7094886363636362
G3SG1 | Orange Crash,Chroma 3 Case,Mil-Spec,3.88,FN,BUFF,,False,Restricted,10.0,75.2175,崭新,6.3934875,3.88,2.5134875,0.647806056701031
Dual Berettas | Ventilators,Chroma 3 Case,Mil-Spec,3.93,FN,BUFF,,False,Restricted,10.0,75.2175,崭新,6.3934875,3.93,2.4634875,0.6268416030534351
MP9 | Bioleak,Chroma 3 Case,Mil-Spec,3.94,FN,C5,,False,Restricted,10.0,75.2175,崭新,6.3934875,3.94,2.4534875,0.6227125634517767
MP9 | Goo,Spectrum 2 Case,Restricted,18.87,FN,YOUPIN,,False,Classified,10.0,250.66666666666666,崭新,21.306666666666665,18.87,2.436666666666664,0.12912912912912897
SG 553 | Tiger Moth,Revolver Case,Restricted,40.0,FN,BUFF,,False,Classified,10.0,497.4200000000001,崭新,42.28070000000001,40.0,2.28070000000001,0.057017500000000255
XM1014 | Teclu Burner,Revolver Case,Restricted,40.0,FN,YOUPIN,,False,Classified,10.0,497.4200000000001,崭新,42.28070000000001,40.0,2.28070000000001,0.057017500000000255
P2000 | Oceanic,Chroma 3 Case,Mil-Spec,4.18,FN,BUFF,,False,Restricted,10.0,75.2175,崭新,6.3934875,4.18,2.2134875000000003,0.5295424641148326
AWP | Worm God,Chroma 2 Case,Restricted,28.0,FN,C5,,False,Classified,10.0,355.16333333333336,崭新,30.188883333333337,28.0,2.1888833333333366,0.07817440476190488
CZ75-Auto | Pole Position,Chroma 2 Case,Restricted,28.0,FN,YOUPIN,,False,Classified,10.0,355.16333333333336,崭新,30.188883333333337,28.0,2.1888833333333366,0.07817440476190488
Negev | Terrain,Operation Phoenix Weapon Case,Mil-Spec,6.6,FN,BUFF,,False,Restricted,10.0,98.0,崭新,8.33,6.6,1.7300000000000004,0.2621212121212122
PP-Bizon | Antique,Huntsman Weapon Case,Restricted,84.1,FN,YOUPIN,,False,Classified,10.0,1006.5,崭新,85.5525,84.1,1.4525000000000006,0.017271105826397154
SG 553 | Phantom,Spectrum 2 Case,Restricted,19.99,FN,BUFF,,False,Classified,10.0,250.66666666666666,崭新,21.306666666666665,19.99,1.3166666666666664,0.06586626646656661
UMP-45 | Exposure,Spectrum 2 Case,Restricted,20.0,FN,BUFF,,False,Classified,10.0,250.66666666666666,崭新,21.306666666666665,20.0,1.3066666666666649,0.06533333333333324
MAG-7 | Heaven Guard,Operation Phoenix Weapon Case,Mil-Spec,7.19,FN,C5,,False,Restricted,10.0,98.0,崭新,8.33,7.19,1.1399999999999997,0.15855354659248952
Tec-9 | Re-Entry,Chroma 3 Case,Restricted,20.59,FN,BUFF,,False,Classified,10.0,252.56333333333336,崭新,21.467883333333337,20.59,0.8778833333333367,0.04263639307107026
SG 553 | Atlas,Chroma 3 Case,Mil-Spec,5.68,FN,BUFF,,False,Restricted,10.0,75.2175,崭新,6.3934875,5.68,0.7134875000000003,0.1256139964788733
AUG | Torque,Huntsman Weapon Case,Restricted,84.91,FN,C5,,False,Classified,10.0,1006.5,崭新,85.5525,84.91,0.6424999999999983,0.00756683547285359
P2000 | Imperial,Revolver Case,Mil-Spec,5.0,FN,BUFF,,False,Restricted,10.0,66.14999999999999,崭新,5.622749999999999,5.0,0.622749999999999,0.1245499999999998
Negev | Man-o'-war,Chroma 2 Case,Mil-Spec,1.76,MW,BUFF,,False,Restricted,10.0,26.5675,略磨,2.2582375,1.76,0.4982374999999999,0.2830894886363636
XM1014 | Ziggy,Spectrum 2 Case,Restricted,20.89,FN,BUFF,,False,Classified,10.0,250.66666666666666,崭新,21.306666666666665,20.89,0.4166666666666643,0.019945747566618682
SCAR-20 | Outbreak,Revolver Case,Mil-Spec,5.27,FN,BUFF,,False,Restricted,10.0,66.14999999999999,崭新,5.622749999999999,5.27,0.35274999999999945,0.06693548387096765
CZ75-Auto | Tacticat,Spectrum 2 Case,Restricted,21.0,FN,YOUPIN,,False,Classified,10.0,250.66666666666666,崭新,21.306666666666665,21.0,0.30666666666666487,0.014603174603174517
M249 | Nebula Crusader,Shadow Case,Restricted,59.99,FN,BUFF,,False,Classified,10.0,707.7599999999999,崭新,60.15959999999999,59.99,0.16959999999998843,0.002827137856309192
P250 | Wingshot,Shadow Case,Restricted,60.0,FN,BUFF,,False,Classified,10.0,707.7599999999999,崭新,60.15959999999999,60.0,0.15959999999999042,0.0026599999999998404
Nova | Clear Polymer,Operation Broken Fang Case,Restricted,115.9,FN,YOUPIN,,False,Classified,10.0,1360.3333333333333,崭新,115.62833333333333,115.9,-0.2716666666666754,-0.002343974690825499
SCAR-20 | Grotto,Chroma Case,Mil-Spec,6.01,FN,BUFF,,False,Restricted,10.0,67.465,崭新,5.734525,6.01,-0.27547500000000014,-0.045836106489184715
R8 Revolver | Bone Forged,Prisma 2 Case,Mil-Spec,2.77,FN,BUFF,,False,Restricted,10.0,29.020000000000003,崭新,2.4667000000000003,2.77,-0.3032999999999997,-0.10949458483754501
XM1014 | Quicksilver,Chroma Case,Mil-Spec,6.19,FN,BUFF,,False,Restricted,10.0,67.465,崭新,5.734525,6.19,-0.45547500000000074,-0.07358239095315036
Negev | Prototype,Prisma 2 Case,Mil-Spec,2.96,FN,C5,,False,Restricted,10.0,29.020000000000003,崭新,2.4667000000000003,2.96,-0.4932999999999996,-0.16665540540540527
Nova | Koi,Operation Breakout Weapon Case,Restricted,22.8,FN,BUFF,,False,Classified,10.0,262.33,崭新,22.298049999999996,22.8,-0.5019500000000043,-0.022015350877193172
FAMAS | Crypsis,Prisma Case,Mil-Spec,4.4,FN,BUFF,,False,Restricted,10.0,43.98199999999999,崭新,3.7384699999999995,4.4,-0.6615300000000008,-0.15034772727272744
P250 | Supernova,Operation Breakout Weapon Case,Restricted,22.98,FN,BUFF,,False,Classified,10.0,262.33,崭新,22.298049999999996,22.98,-0.681950000000004,-0.029675805047867886
MAG-7 | Cobalt Core,Shadow Case,Mil-Spec,6.16,FN,YOUPIN,,False,Restricted,10.0,64.44749999999999,崭新,5.478037499999999,6.16,-0.6819625000000009,-0.1107081980519482
Sawed-Off | Origami,Chroma 2 Case,Mil-Spec,2.96,FN,BUFF,,False,Restricted,10.0,26.5675,崭新,2.2582375,2.96,-0.7017625000000001,-0.2370819256756757
PP-Bizon | Osiris,Operation Breakout Weapon Case,Restricted,23.0,FN,YOUPIN,,False,Classified,10.0,262.33,崭新,22.298049999999996,23.0,-0.7019500000000036,-0.03051956521739146
MAC-10 | Rangeen,Shadow Case,Mil-Spec,6.19,FN,YOUPIN,,False,Restricted,10.0,64.44749999999999,崭新,5.478037499999999,6.19,-0.7119625000000012,-0.1150181744749598
AUG | Ricochet,Revolver Case,Mil-Spec,6.36,FN,BUFF,,False,Restricted,10.0,66.14999999999999,崭新,5.622749999999999,6.36,-0.7372500000000013,-0.11591981132075492
AUG | Amber Slipstream,Horizon Case,Mil-Spec,3.95,FN,YOUPIN,,False,Restricted,10.0,35.39399999999999,崭新,3.008489999999999,3.95,-0.941510000000001,-0.2383569620253167
MAG-7 | Memento,ESports 2013 Case,Mil-Spec,48.7,FN,C5,,False,Restricted,10.0,561.1433333333333,崭新,47.69718333333333,48.7,-1.002816666666675,-0.020591718001369094
XM1014 | Zombie Offensive,Dreams & Nightmares Case,Restricted,11.58,FN,BUFF,,False,Classified,10.0,124.12666666666667,崭新,10.550766666666666,11.58,-1.0292333333333339,-0.08888025331030518
Dual Berettas | Shred,Horizon Case,Mil-Spec,4.11,FN,BUFF,,False,Restricted,10.0,35.39399999999999,崭新,3.008489999999999,4.11,-1.101510000000001,-0.2680072992700732
SG 553 | Aerial,Gamma Case,Mil-Spec,3.98,FN,BUFF,,False,Restricted,10.0,33.04,崭新,2.8084,3.98,-1.1716000000000002,-0.29437185929648246
SCAR-20 | Poultrygeist,Dreams & Nightmares Case,Mil-Spec,2.5,FN,BUFF,,False,Restricted,10.0,15.565999999999999,崭新,1.32311,2.5,-1.17689,-0.470756
Galil AR | Destroyer,Recoil Case,Mil-Spec,2.59,FN,C5,,False,Restricted,10.0,16.578,崭新,1.4091299999999998,2.59,-1.18087,-0.455934362934363
PP-Bizon | Fuel Rod,Revolver Case,Restricted,43.48,FN,BUFF,,False,Classified,10.0,497.4200000000001,崭新,42.28070000000001,43.48,-1.1992999999999867,-0.027582796688132172
Nova | Exo,Gamma Case,Mil-Spec,4.03,FN,BUFF,,False,Restricted,10.0,33.04,崭新,2.8084,4.03,-1.2216000000000005,-0.30312655086848644
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,2.55,FN,C5,,False,Restricted,10.0,15.565999999999999,崭新,1.32311,2.55,-1.2268899999999998,-0.4811333333333333
