name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
AK-47 | Vulcan,Huntsman Weapon Case,Covert,2949.5,MW,YOUPIN,,False,Gold,5.0,2000.65,战痕,400.13,2949.5,-2549.37,-0.8643397185963723
M4A1-S | Golden Coil,Shadow Case,Covert,2729.5,FN,YOUPIN,,False,Gold,5.0,881.1,战痕,176.22,2729.5,-2553.28,-0.9354387250412164
Five-SeveN | Fairy Tale,Operation Broken Fang Case,Classified,2940.0,FN,YOUPIN,,False,Covert,10.0,3404.75,战痕,340.475,2940.0,-2599.525,-0.8841921768707484
USP-S | Kill Confirmed,Shadow Case,Covert,2799.0,FN,YOUPIN,,False,Gold,5.0,881.1,破损,176.22,2799.0,-2622.78,-0.9370418006430868
M4A1-S | Hyper Beast,Chroma 2 Case,Covert,3550.0,FN,C5,,False,Gold,5.0,4013.875384615385,战痕,802.775076923077,3550.0,-2747.224923076923,-0.7738661755146262
AWP | Oni Taiji,Operation Hydra Case,Covert,6500.0,FN,C5,,False,Gold,5.0,16959.3,破损,3391.8599999999997,6500.0,-3108.1400000000003,-0.47817538461538467
AWP | Lightning Strike,CSGO Weapon Case,Covert,3910.0,FN,YOUPIN,,False,Gold,5.0,1339.6532,崭新,267.93064,3910.0,-3642.06936,-0.9314755396419437
AWP | Lightning Strike,CSGO Weapon Case,Covert,3950.0,MW,YOUPIN,,False,Gold,5.0,1397.5744,崭新,279.51488,3950.0,-3670.48512,-0.9292367392405063
AK-47 | Red Laminate,ESports 2013 Case,Classified,3847.5,FN,YOUPIN,,False,Covert,10.0,847.0,久经,84.7,3847.5,-3762.8,-0.9779857050032489
AK-47 | Asiimov,Danger Zone Case,Covert,4180.0,FN,C5,,False,Gold,5.0,1685.7129999999997,战痕,337.14259999999996,4180.0,-3842.8574,-0.9193438755980861
AWP | BOOM,ESports 2013 Case,Classified,4087.5,FN,YOUPIN,,False,Covert,10.0,847.0,久经,84.7,4087.5,-4002.8,-0.9792782874617737
M4A1-S | Printstream,Operation Broken Fang Case,Covert,4329.5,FN,C5,,False,Gold,5.0,1199.1799999999998,战痕,239.83599999999996,4329.5,-4089.664,-0.9446042268160296
M4A4 | Hellfire,Operation Hydra Case,Classified,4859.63,FN,C5,,False,Covert,10.0,4651.64,战痕,465.16400000000004,4859.63,-4394.466,-0.904279955469861
AK-47 | Vulcan,Huntsman Weapon Case,Covert,5146.0,FN,BUFF,,False,Gold,5.0,2137.58,战痕,427.51599999999996,5146.0,-4718.484,-0.9169226583754373
AK-47 | Case Hardened,CSGO Weapon Case,Classified,5432.67,FN,YOUPIN,,False,Covert,10.0,3910.0,战痕,391.0,5432.67,-5041.67,-0.9280280230531213
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,86.38,BS,C5,,False,Covert,10.0,,久经,,86.38,,
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,630.0,FN,YOUPIN,,False,Covert,10.0,,久经,,630.0,,
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,77.5,FT,BUFF,,False,Covert,10.0,,久经,,77.5,,
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,215.0,MW,BUFF,,False,Covert,10.0,,久经,,215.0,,
AUG | Bengal Tiger,ESports 2014 Summer Case,Classified,85.0,WW,BUFF,,False,Covert,10.0,,久经,,85.0,,
AUG | Plague,Operation Riptide Case,Mil-Spec,4.38,BS,BUFF,,False,Restricted,10.0,,战痕,,4.38,,
AUG | Plague,Operation Riptide Case,Mil-Spec,26.3,FN,YOUPIN,,False,Restricted,10.0,,战痕,,26.3,,
AUG | Plague,Operation Riptide Case,Mil-Spec,5.35,FT,BUFF,,False,Restricted,10.0,,战痕,,5.35,,
AUG | Plague,Operation Riptide Case,Mil-Spec,10.5,MW,BUFF,,False,Restricted,10.0,,战痕,,10.5,,
AUG | Plague,Operation Riptide Case,Mil-Spec,5.45,WW,BUFF,,False,Restricted,10.0,,战痕,,5.45,,
