0.0000	9.0100
0.1000	9.0377
0.2000	9.0634
0.3000	9.0851
0.4000	9.1009
0.5000	9.1088
0.6000	9.1068
0.7000	9.0929
0.8000	9.0651
0.9000	9.0214
1.0000	8.9600
1.1000	8.8798
1.2000	8.7839
1.3000	8.6767
1.4000	8.5623
1.5000	8.4449
1.6000	8.3287
1.7000	8.2179
1.8000	8.1167
1.9000	8.0293
2.0000	7.9600
2.1000	7.9117
2.2000	7.8824
2.3000	7.8692
2.4000	7.8687
2.5000	7.8780
2.6000	7.8938
2.7000	7.9130
2.8000	7.9326
2.9000	7.9493
3.0000	7.9600
3.1000	7.9626
3.2000	7.9588
3.3000	7.9512
3.4000	7.9427
3.5000	7.9357
3.6000	7.9331
3.7000	7.9376
3.8000	7.9517
3.9000	7.9783
4.0000	8.0200
4.1000	8.0787
4.2000	8.1529
4.3000	8.2407
4.4000	8.3397
4.5000	8.4479
4.6000	8.5630
4.7000	8.6830
4.8000	8.8056
4.9000	8.9286
5.0000	9.0500
5.1000	9.1680
5.2000	9.2825
5.3000	9.3941
5.4000	9.5032
5.5000	9.6103
5.6000	9.7157
5.7000	9.8199
5.8000	9.9234
5.9000	10.0266
6.0000	10.1300
6.1000	10.2339
6.2000	10.3383
6.3000	10.4431
6.4000	10.5482
6.5000	10.6536
6.6000	10.7590
6.7000	10.8645
6.8000	10.9699
6.9000	11.0751
7.0000	11.1800
7.1000	11.2846
7.2000	11.3892
7.3000	11.4940
7.4000	11.5993
7.5000	11.7055
7.6000	11.8128
7.7000	11.9217
7.8000	12.0322
7.9000	12.1449
8.0000	12.2600
8.1000	12.3774
8.2000	12.4959
8.3000	12.6137
8.4000	12.7292
8.5000	12.8408
8.6000	12.9466
8.7000	13.0451
8.8000	13.1347
8.9000	13.2135
9.0000	13.2800
9.1000	13.3329
9.2000	13.3726
9.3000	13.4001
9.4000	13.4161
9.5000	13.4215
9.6000	13.4172
9.7000	13.4040
9.8000	13.3829
9.9000	13.3546
10.0000	13.3200
10.1000	13.2798
10.2000	13.2338
10.3000	13.1816
10.4000	13.1228
10.5000	13.0571
10.6000	12.9839
10.7000	12.9031
10.8000	12.8140
10.9000	12.7165
11.0000	12.6100
11.1000	12.4945
11.2000	12.3713
11.3000	12.2418
11.4000	12.1076
11.5000	11.9703
11.6000	11.8313
11.7000	11.6923
11.8000	11.5547
11.9000	11.4201
12.0000	11.2900
12.1000	11.1656
12.2000	11.0468
12.3000	10.9327
12.4000	10.8230
12.5000	10.7168
12.6000	10.6138
12.7000	10.5132
12.8000	10.4144
12.9000	10.3169
13.0000	10.2200
13.1000	10.1231
13.2000	10.0257
13.3000	9.9270
13.4000	9.8266
13.5000	9.7236
13.6000	9.6175
13.7000	9.5078
13.8000	9.3937
13.9000	9.2746
14.0000	9.1500
14.1000	9.0196
14.2000	8.8854
14.3000	8.7496
14.4000	8.6145
14.5000	8.4825
14.6000	8.3559
14.7000	8.2371
14.8000	8.1283
14.9000	8.0318
15.0000	7.9500
15.1000	7.8847
15.2000	7.8358
15.3000	7.8024
15.4000	7.7841
15.5000	7.7800
15.6000	7.7895
15.7000	7.8120
15.8000	7.8467
15.9000	7.8929
16.0000	7.9500
16.1000	8.0172
16.2000	8.0932
16.3000	8.1768
16.4000	8.2666
16.5000	8.3612
16.6000	8.4593
16.7000	8.5595
16.8000	8.6606
16.9000	8.7612
17.0000	8.8600
17.1000	8.9559
17.2000	9.0495
17.3000	9.1415
17.4000	9.2328
17.5000	9.3241
17.6000	9.4163
17.7000	9.5101
17.8000	9.6065
17.9000	9.7062
18.0000	9.8100
18.1000	9.9183
18.2000	10.0296
18.3000	10.1420
18.4000	10.2536
18.5000	10.3625
18.6000	10.4668
18.7000	10.5647
18.8000	10.6541
18.9000	10.7331
19.0000	10.8000
19.1000	10.8533
19.2000	10.8938
19.3000	10.9231
19.4000	10.9424
19.5000	10.9533
19.6000	10.9571
19.7000	10.9553
19.8000	10.9492
19.9000	10.9403
